token_id,board_code,x,y
73,mfers,14,6
1073,69,12,12
74,mfers,17,24
1074,69,26,24
75,mfers,9,3
1075,69,11,10
76,mfers,8,13
1076,69,28,22
77,mfers,32,2
1077,69,11,10
78,mfers,12,22
1078,69,32,24
79,mfers,38,1
1079,69,4,6
80,mfers,27,1
1080,69,25,13
81,mfers,30,1
1081,69,5,1
82,mfers,35,9
1082,69,26,3
83,mfers,18,22
1083,69,31,4
84,mfers,31,7
1084,69,26,13
85,mfers,37,22
1085,69,23,7
86,mfers,15,23
1086,69,38,16
87,mfers,23,2
1087,69,2,11
88,mfers,27,23
1088,69,4,12
89,mfers,1,7
1089,69,1,8
90,mfers,23,7
1090,69,13,7
91,mfers,17,22
1091,69,25,17
92,mfers,13,23
1092,69,9,10
93,mfers,2,14
1093,69,3,20
94,mfers,22,12
1094,69,18,8
95,mfers,38,12
1095,69,1,11
96,mfers,11,5
1096,69,9,2
97,mfers,16,8
1097,69,27,3
98,mfers,31,7
1098,69,16,2
99,mfers,15,22
1099,69,2,24
100,mfers,7,20
1100,69,4,0
101,mfers,27,16
1101,69,22,23
102,mfers,4,18
1102,69,7,10
103,mfers,14,2
1103,69,5,9
104,mfers,6,1
1104,69,5,24
105,mfers,18,10
1105,69,22,11
106,mfers,10,24
1106,69,12,16
107,mfers,1,4
1107,69,21,15
108,mfers,17,21
1108,69,20,23
109,mfers,22,23
1109,69,39,6
110,mfers,3,10
1110,69,37,19
111,mfers,25,21
1111,69,20,2
112,mfers,30,15
1112,69,3,15
113,mfers,34,9
1113,69,27,19
114,mfers,26,9
1114,69,13,2
115,mfers,28,12
1115,69,34,3
116,mfers,21,14
1116,69,14,17
117,mfers,16,18
1117,69,16,22
118,mfers,9,21
1118,69,34,5
119,mfers,37,16
1119,69,4,17
120,mfers,17,10
1120,69,1,11
121,mfers,9,5
1121,69,6,19
122,mfers,18,0
1122,69,20,17
123,mfers,34,9
1123,69,10,14
124,mfers,31,11
1124,69,27,20
125,mfers,30,24
1125,69,23,18
126,mfers,24,16
1126,69,34,8
127,mfers,4,0
1127,69,37,20
128,mfers,12,4
1128,69,7,21
129,mfers,32,23
1129,69,39,13
130,mfers,23,19
1130,69,9,0
131,mfers,1,7
1131,69,13,3
132,mfers,17,9
1132,69,35,16
133,mfers,6,3
1133,69,14,4
134,mfers,16,4
1134,69,10,10
135,mfers,5,21
1135,69,21,23
136,mfers,16,17
1136,69,29,18
137,mfers,29,5
1137,69,10,22
138,mfers,29,10
1138,69,4,2
139,mfers,1,22
1139,69,38,12
140,mfers,4,17
1140,69,14,20
141,mfers,18,0
1141,69,27,0
142,mfers,36,4
1142,69,18,4
143,mfers,26,12
1143,69,0,4
144,mfers,3,18
1144,69,33,18
145,mfers,32,16
1145,69,28,14
146,mfers,37,20
1146,69,24,1
147,mfers,39,15
1147,69,0,14
148,mfers,19,5
1148,69,31,7
149,mfers,31,0
1149,69,31,13
150,mfers,4,0
1150,69,19,10
151,mfers,27,14
1151,69,0,9
152,mfers,7,15
1152,69,28,24
153,mfers,4,3
1153,69,25,10
154,mfers,32,6
1154,69,32,14
155,mfers,35,6
1155,69,11,20
156,mfers,9,9
1156,69,10,15
157,mfers,7,11
1157,69,34,16
158,mfers,16,13
1158,69,14,18
159,mfers,1,6
1159,69,33,18
160,mfers,16,11
1160,69,8,20
161,mfers,23,17
1161,69,31,2
162,mfers,39,21
1162,69,8,8
163,mfers,6,21
1163,69,1,19
164,mfers,1,14
1164,69,11,7
165,mfers,33,10
1165,69,24,15
166,mfers,37,21
1166,69,29,20
167,mfers,15,1
1167,69,25,6
168,mfers,24,0
1168,69,1,3
169,mfers,5,21
1169,69,2,19
170,mfers,20,17
1170,69,30,1
171,mfers,4,4
1171,69,29,23
172,mfers,8,2
1172,69,19,10
173,mfers,36,2
1173,69,0,20
174,mfers,12,14
1174,69,32,5
175,mfers,23,3
1175,69,14,7
176,mfers,26,23
1176,69,34,18
177,mfers,23,4
1177,69,36,17
178,mfers,36,16
1178,69,13,18
179,mfers,20,7
1179,69,22,21
180,mfers,2,0
1180,69,24,9
181,mfers,3,15
1181,69,3,16
182,mfers,2,15
1182,69,21,3
183,mfers,5,16
1183,69,6,17
184,mfers,34,3
1184,69,18,4
185,mfers,34,10
1185,69,9,2
186,mfers,2,0
1186,69,20,6
187,mfers,9,13
1187,69,28,21
188,mfers,10,6
1188,69,1,24
189,mfers,10,24
1189,69,27,7
190,mfers,37,17
1190,69,21,6
191,mfers,29,24
1191,69,33,24
192,mfers,26,15
1192,69,21,16
193,mfers,30,19
1193,69,5,5
194,mfers,11,23
1194,69,18,9
195,mfers,33,22
1195,69,14,12
196,mfers,9,21
1196,69,7,21
197,mfers,25,21
1197,69,21,17
198,mfers,19,16
1198,69,1,1
199,mfers,9,2
1199,69,12,23
200,mfers,9,19
1200,69,10,24
201,mfers,11,21
1201,69,33,1
202,mfers,39,3
1202,69,18,10
203,mfers,8,14
1203,69,4,16
204,mfers,6,14
1204,69,1,23
205,mfers,1,23
1205,69,8,8
206,mfers,7,21
1206,69,11,0
207,mfers,39,11
1207,69,8,7
208,mfers,25,22
1208,69,11,21
209,mfers,12,11
1209,69,35,9
210,mfers,37,9
1210,69,9,6
211,mfers,33,4
1211,69,5,12
212,mfers,26,23
1212,69,34,10
213,mfers,10,18
1213,69,16,23
214,mfers,9,16
1214,69,6,3
215,mfers,22,3
1215,69,12,0
216,mfers,10,14
1216,69,19,13
217,mfers,1,19
1217,69,23,19
218,mfers,27,11
1218,69,4,8
219,mfers,17,2
1219,69,33,16
220,mfers,29,6
1220,69,13,6
221,mfers,10,3
1221,69,8,15
222,mfers,5,4
1222,69,5,24
223,mfers,38,11
1223,69,4,4
224,mfers,26,21
1224,69,27,5
225,mfers,35,0
1225,69,34,23
226,mfers,27,0
1226,69,17,24
227,mfers,38,2
1227,69,28,19
228,mfers,3,12
1228,69,11,6
229,mfers,23,15
1229,69,26,19
230,mfers,26,7
1230,69,28,3
231,mfers,31,15
1231,69,21,16
232,mfers,6,17
1232,69,19,19
233,mfers,36,10
1233,69,9,10
234,mfers,33,12
1234,69,38,14
235,mfers,5,12
1235,69,10,6
236,mfers,39,9
1236,69,14,22
237,mfers,39,6
1237,69,12,5
238,mfers,34,18
1238,69,5,23
239,mfers,17,2
1239,69,30,12
240,mfers,35,22
1240,69,18,22
241,mfers,18,10
1241,69,35,12
242,mfers,29,13
1242,69,29,18
243,mfers,39,4
1243,69,15,2
244,mfers,7,4
1244,69,36,9
245,mfers,0,8
1245,69,14,15
246,mfers,5,23
1246,69,7,17
247,mfers,0,2
1247,69,34,10
248,mfers,26,0
1248,69,19,0
249,mfers,18,12
1249,69,4,1
250,mfers,11,9
1250,69,6,16
251,mfers,32,9
1251,69,31,14
252,mfers,15,4
1252,69,17,7
253,mfers,14,20
1253,69,39,7
254,mfers,1,23
1254,69,5,13
255,mfers,32,15
1255,69,21,13
256,mfers,8,9
1256,69,27,16
257,mfers,14,13
1257,69,8,19
258,mfers,18,24
1258,69,6,4
259,mfers,30,10
1259,69,26,3
260,mfers,1,4
1260,69,33,19
261,mfers,38,4
1261,69,18,10
262,mfers,5,6
1262,69,30,21
263,mfers,29,23
1263,69,23,8
264,mfers,11,12
1264,69,8,16
265,mfers,14,9
1265,69,35,15
266,mfers,8,14
1266,69,1,15
267,mfers,11,24
1267,69,24,22
268,mfers,5,11
1268,69,31,20
269,mfers,36,24
1269,69,15,2
270,mfers,14,3
1270,69,25,4
271,mfers,4,11
1271,69,33,7
272,mfers,17,16
1272,69,18,0
273,mfers,4,11
1273,69,7,8
274,mfers,22,11
1274,69,16,14
275,mfers,17,23
1275,69,16,4
276,mfers,4,5
1276,69,38,4
277,mfers,36,21
1277,69,32,9
278,mfers,4,10
1278,69,16,10
279,mfers,7,24
1279,69,5,7
280,mfers,28,21
1280,69,30,23
281,mfers,9,3
1281,69,16,14
282,mfers,4,15
1282,69,30,3
283,mfers,4,4
1283,69,14,10
284,mfers,1,20
1284,69,35,6
285,mfers,6,23
1285,69,3,21
286,mfers,35,19
1286,69,28,11
287,mfers,37,1
1287,69,6,15
288,mfers,27,9
1288,69,29,8
289,mfers,15,17
1289,69,4,23
290,mfers,35,22
1290,69,12,17
291,mfers,9,9
1291,69,25,10
292,mfers,28,8
1292,69,29,3
293,mfers,32,10
1293,69,6,12
294,mfers,6,1
1294,69,31,12
295,mfers,36,0
1295,69,37,4
296,mfers,4,15
1296,69,15,24
297,mfers,37,6
1297,69,27,0
298,mfers,18,20
1298,69,5,15
299,mfers,29,23
1299,69,22,3
300,mfers,6,8
1300,69,17,10
301,mfers,32,15
1301,69,22,4
302,mfers,18,5
1302,69,28,13
303,mfers,8,4
1303,69,29,6
304,mfers,3,9
1304,69,16,12
305,mfers,25,14
1305,69,18,12
306,mfers,29,2
1306,69,1,10
307,mfers,0,5
1307,69,21,19
308,mfers,11,13
1308,69,26,7
309,mfers,2,0
1309,69,18,11
310,mfers,6,18
1310,69,33,21
311,mfers,26,3
1311,69,34,0
312,mfers,37,9
1312,69,7,6
313,mfers,8,14
1313,69,33,2
314,mfers,1,5
1314,69,12,10
315,mfers,27,10
1315,69,20,4
316,mfers,20,20
1316,69,30,9
317,mfers,26,0
1317,69,13,12
318,mfers,28,10
1318,69,14,7
319,mfers,29,12
1319,69,31,16
320,mfers,3,21
1320,69,2,19
321,mfers,29,5
1321,69,3,7
322,mfers,30,11
1322,69,12,13
323,mfers,10,4
1323,69,32,3
324,mfers,22,17
1324,69,1,20
325,mfers,8,13
1325,69,10,22
326,mfers,22,10
1326,69,24,16
327,mfers,3,19
1327,69,27,21
328,mfers,26,14
1328,69,22,19
329,mfers,6,10
1329,69,38,4
330,mfers,39,12
1330,69,32,2
331,mfers,28,7
1331,69,19,0
332,mfers,17,2
1332,69,15,24
333,mfers,11,21
1333,69,1,11
334,mfers,34,14
1334,69,31,12
335,mfers,39,7
1335,69,20,6
336,mfers,1,22
1336,69,14,3
337,mfers,0,15
1337,69,6,3
338,mfers,28,0
1338,69,36,9
339,mfers,10,5
1339,69,23,4
340,mfers,17,4
1340,69,11,1
341,mfers,10,3
1341,69,6,10
342,mfers,3,7
1342,69,22,9
343,mfers,26,2
1343,69,8,21
344,mfers,24,20
1344,69,5,17
345,mfers,26,8
1345,69,23,11
346,mfers,18,20
1346,69,30,22
347,mfers,31,22
1347,69,2,2
348,mfers,18,10
1348,69,19,17
349,mfers,14,18
1349,69,12,24
350,mfers,5,18
1350,69,34,15
351,mfers,2,22
1351,69,17,15
352,mfers,37,24
1352,69,0,2
353,mfers,23,13
1353,69,12,6
354,mfers,31,11
1354,69,13,5
355,mfers,27,9
1355,69,30,17
356,mfers,16,20
1356,69,2,4
357,mfers,24,3
1357,69,23,15
358,mfers,7,11
1358,69,0,23
359,mfers,30,20
1359,69,34,10
360,mfers,26,0
1360,69,17,7
361,mfers,17,15
1361,69,3,9
362,mfers,35,18
1362,69,28,14
363,mfers,32,15
1363,69,4,12
364,mfers,27,8
1364,69,24,14
365,mfers,35,8
1365,69,7,18
366,mfers,9,18
1366,69,13,17
367,mfers,22,16
1367,69,32,20
368,mfers,24,19
1368,69,5,8
369,mfers,20,16
1369,69,31,20
370,mfers,25,16
1370,69,17,10
371,mfers,4,11
1371,69,20,8
372,mfers,36,12
1372,69,23,16
373,mfers,6,10
1373,69,25,23
374,mfers,35,23
1374,69,2,0
375,mfers,20,8
1375,69,11,24
376,mfers,38,6
1376,69,1,1
377,mfers,10,5
1377,69,20,17
378,mfers,10,17
1378,69,25,18
379,mfers,5,9
1379,69,6,24
380,mfers,23,0
1380,69,3,4
381,mfers,37,18
1381,69,20,2
382,mfers,13,21
1382,69,14,23
383,mfers,26,16
1383,69,17,7
384,mfers,12,7
1384,69,14,23
385,mfers,25,22
1385,69,5,7
386,mfers,26,13
1386,69,37,17
387,mfers,38,3
1387,69,18,2
388,mfers,21,12
1388,69,4,10
389,mfers,34,19
1389,69,27,6
390,mfers,28,13
1390,69,3,4
391,mfers,1,4
1391,69,11,16
392,mfers,34,11
1392,69,2,19
393,mfers,36,22
1393,69,28,6
394,mfers,19,17
1394,69,12,9
395,mfers,11,9
1395,69,6,16
396,mfers,30,11
1396,69,8,0
397,mfers,24,12
1397,69,22,4
398,mfers,3,21
1398,69,23,20
399,mfers,0,22
1399,69,32,24
400,mfers,7,9
1400,69,15,24
401,mfers,22,22
1401,69,23,8
402,mfers,8,20
1402,69,25,6
403,mfers,28,20
1403,69,37,14
404,mfers,29,4
1404,69,22,5
405,mfers,23,24
1405,69,2,22
406,mfers,1,22
1406,69,23,10
407,mfers,39,3
1407,69,38,2
408,mfers,2,17
1408,69,9,2
409,mfers,28,18
1409,69,20,7
410,mfers,8,22
1410,69,34,9
411,mfers,32,15
1411,69,11,0
412,mfers,29,21
1412,69,10,24
413,mfers,19,15
1413,69,2,4
414,mfers,12,11
1414,69,22,16
415,mfers,28,11
1415,69,20,22
416,mfers,1,2
1416,69,32,13
417,mfers,35,16
1417,69,16,23
418,mfers,32,11
1418,69,25,2
419,mfers,27,6
1419,69,35,7
420,mfers,13,11
1420,69,14,15
421,mfers,32,14
1421,69,15,4
422,mfers,20,11
1422,69,13,2
423,mfers,3,19
1423,69,28,5
424,mfers,14,1
1424,69,14,13
425,mfers,3,8
1425,69,11,24
426,mfers,12,0
1426,69,4,7
427,mfers,6,8
1427,69,19,3
428,mfers,14,8
1428,69,27,15
429,mfers,3,5
1429,69,25,15
430,mfers,27,7
1430,69,16,15
431,mfers,32,5
1431,69,20,15
432,mfers,10,23
1432,69,5,13
433,mfers,30,11
1433,69,6,20
434,mfers,11,5
1434,69,9,7
435,mfers,0,2
1435,69,28,5
436,mfers,29,7
1436,69,25,21
437,mfers,13,23
1437,69,13,14
438,mfers,20,10
1438,69,35,15
439,mfers,23,20
1439,69,5,11
440,mfers,0,4
1440,69,2,24
441,mfers,0,3
1441,69,12,2
442,mfers,9,9
1442,69,1,14
443,mfers,7,12
1443,69,30,3
444,mfers,25,0
1444,69,7,22
445,mfers,27,16
1445,69,6,8
446,mfers,29,21
1446,69,26,2
447,mfers,9,13
1447,69,37,9
448,mfers,14,24
1448,69,33,22
449,mfers,27,5
1449,69,15,19
450,mfers,22,17
1450,69,24,22
451,mfers,37,15
1451,69,4,2
452,mfers,34,21
1452,69,4,18
453,mfers,5,0
1453,69,22,3
454,mfers,6,8
1454,69,38,8
455,mfers,17,13
1455,69,8,3
456,mfers,13,5
1456,69,34,10
457,mfers,24,13
1457,69,28,3
458,mfers,16,11
1458,69,19,1
459,mfers,4,1
1459,69,24,19
460,mfers,10,16
1460,69,28,11
461,mfers,8,2
1461,69,5,6
462,mfers,27,2
1462,69,17,4
463,mfers,2,10
1463,69,14,10
464,mfers,29,18
1464,69,23,11
465,mfers,36,24
1465,69,24,20
466,mfers,18,17
1466,69,2,14
467,mfers,31,16
1467,69,13,10
468,mfers,15,20
1468,69,23,3
469,mfers,22,10
1469,69,15,20
470,mfers,18,14
1470,69,34,19
471,mfers,32,21
1471,69,30,3
472,mfers,35,7
1472,69,23,11
473,mfers,29,21
1473,69,17,12
474,mfers,2,6
1474,69,6,12
475,mfers,6,13
1475,69,26,23
476,mfers,12,5
1476,69,10,19
477,mfers,30,6
1477,69,19,10
478,mfers,30,4
1478,69,12,21
479,mfers,4,12
1479,69,14,5
480,mfers,12,6
1480,69,16,4
481,mfers,21,20
1481,69,1,16
482,mfers,27,10
1482,69,11,4
483,mfers,17,11
1483,69,26,13
484,mfers,7,10
1484,69,14,11
485,mfers,30,8
1485,69,33,15
486,mfers,23,20
1486,69,0,3
487,mfers,26,9
1487,69,17,22
488,mfers,5,11
1488,69,33,12
489,mfers,33,15
1489,69,15,9
490,mfers,12,2
1490,69,15,16
491,mfers,25,14
1491,69,9,13
492,mfers,1,21
1492,69,33,15
493,mfers,36,0
1493,69,18,22
494,mfers,29,11
1494,69,12,5
495,mfers,15,11
1495,69,34,8
496,mfers,30,19
1496,69,5,2
497,mfers,14,8
1497,69,19,10
498,mfers,37,17
1498,69,22,2
499,mfers,11,4
1499,69,11,20
500,mfers,7,12
1500,69,26,0
501,mfers,15,8
1501,69,11,5
502,mfers,8,10
1502,69,31,5
503,mfers,14,22
1503,69,32,7
504,mfers,19,7
1504,69,15,17
505,mfers,26,24
1505,69,3,5
506,mfers,14,21
1506,69,2,13
507,mfers,23,4
1507,69,39,12
508,mfers,6,1
1508,69,9,20
509,mfers,33,11
1509,69,17,3
510,mfers,29,17
1510,69,24,22
511,mfers,13,12
1511,69,17,11
512,mfers,27,23
1512,69,12,7
513,mfers,21,21
1513,69,17,17
514,mfers,38,8
1514,69,13,17
515,mfers,27,2
1515,69,32,21
516,mfers,4,24
1516,69,29,13
517,mfers,30,12
1517,69,25,5
518,mfers,27,15
1518,69,8,19
519,mfers,29,24
1519,69,10,21
520,mfers,36,6
1520,69,1,4
521,mfers,19,22
1521,69,34,11
522,mfers,17,22
1522,69,39,15
523,mfers,22,21
1523,69,36,9
524,mfers,0,21
1524,69,33,6
525,mfers,25,2
1525,69,31,6
526,mfers,14,21
1526,69,12,12
527,mfers,35,21
1527,69,6,7
528,mfers,36,8
1528,69,34,16
529,mfers,33,20
1529,69,13,6
530,mfers,15,0
1530,69,4,23
531,mfers,28,7
1531,69,21,18
532,mfers,15,22
1532,69,16,7
533,mfers,32,15
1533,69,6,9
534,mfers,19,24
1534,69,35,11
535,mfers,25,18
1535,69,26,9
536,mfers,8,8
1536,69,26,21
537,mfers,5,15
1537,69,24,4
538,mfers,10,4
1538,69,33,9
539,mfers,10,17
1539,69,3,22
540,mfers,38,20
1540,69,12,17
541,mfers,8,6
1541,69,37,20
542,mfers,29,18
1542,69,18,17
543,mfers,19,17
1543,69,13,12
544,mfers,34,10
1544,69,16,0
545,mfers,16,8
1545,69,30,21
546,mfers,4,19
1546,69,4,14
547,mfers,6,3
1547,69,28,18
548,mfers,26,2
1548,69,9,6
549,mfers,15,4
1549,69,31,22
550,mfers,0,22
1550,69,18,22
551,mfers,5,5
1551,69,9,11
552,mfers,11,12
1552,69,16,22
553,mfers,9,21
1553,69,20,14
554,mfers,24,14
1554,69,19,15
555,mfers,9,13
1555,69,37,16
556,mfers,26,0
1556,69,31,4
557,mfers,12,21
1557,69,34,1
558,mfers,32,24
1558,69,31,4
559,mfers,34,18
1559,69,0,5
560,mfers,8,5
1560,69,1,14
561,mfers,37,18
1561,69,16,12
562,mfers,31,11
1562,69,15,19
563,mfers,0,16
1563,69,8,24
564,mfers,35,20
1564,69,19,10
565,mfers,32,19
1565,69,3,21
566,mfers,0,7
1566,69,22,5
567,mfers,28,21
1567,69,18,3
568,mfers,23,20
1568,69,20,6
569,mfers,36,15
1569,69,18,16
570,mfers,13,1
1570,69,3,7
571,mfers,25,4
1571,69,23,6
572,mfers,17,13
1572,69,32,0
573,mfers,17,10
1573,69,0,17
574,mfers,11,8
1574,69,0,14
575,mfers,7,14
1575,69,15,1
576,mfers,20,4
1576,69,14,1
577,mfers,12,10
1577,69,10,21
578,mfers,9,8
1578,69,29,0
579,mfers,25,24
1579,69,22,20
580,mfers,8,2
1580,69,11,13
581,mfers,10,6
1581,69,17,18
582,mfers,19,3
1582,69,21,13
583,mfers,18,21
1583,69,31,7
584,mfers,22,3
1584,69,24,13
585,mfers,36,15
1585,69,34,17
586,mfers,18,10
1586,69,2,7
587,mfers,38,13
1587,69,6,19
588,mfers,37,14
1588,69,0,4
589,mfers,35,2
1589,69,13,22
590,mfers,37,22
1590,69,31,21
591,mfers,24,15
1591,69,1,18
592,mfers,23,24
1592,69,23,14
593,mfers,1,18
1593,69,39,23
594,mfers,5,23
1594,69,15,23
595,mfers,7,24
1595,69,19,2
596,mfers,33,13
1596,69,28,22
597,mfers,2,24
1597,69,26,22
598,mfers,4,3
1598,69,24,24
599,mfers,27,4
1599,69,20,22
600,mfers,0,13
1600,69,39,1
601,mfers,12,7
1601,69,14,14
602,mfers,29,7
1602,69,15,17
603,mfers,15,3
1603,69,18,21
604,mfers,15,14
1604,69,38,3
605,mfers,38,10
1605,69,3,14
606,mfers,11,15
1606,69,13,17
607,mfers,14,10
1607,69,38,20
608,mfers,14,2
1608,69,34,1
609,mfers,5,20
1609,69,9,13
610,mfers,22,2
1610,69,18,17
611,mfers,23,22
1611,69,20,24
612,mfers,22,6
1612,69,38,12
613,mfers,15,3
1613,69,28,20
614,mfers,2,19
1614,69,37,20
615,mfers,26,4
1615,69,4,6
616,mfers,39,15
1616,69,34,10
617,mfers,23,6
1617,69,32,14
618,mfers,0,9
1618,69,12,15
619,mfers,7,7
1619,69,5,22
620,mfers,36,8
1620,69,13,16
621,mfers,34,10
1621,69,37,12
622,mfers,22,15
1622,69,12,21
623,mfers,34,6
1623,69,20,5
624,mfers,16,16
1624,69,16,24
625,mfers,26,19
1625,69,1,5
626,mfers,20,1
1626,69,34,11
627,mfers,8,8
1627,69,26,5
628,mfers,15,23
1628,69,9,21
629,mfers,4,24
1629,69,37,4
630,mfers,1,20
1630,69,23,24
631,mfers,22,5
1631,69,28,2
632,mfers,31,2
1632,69,38,15
633,mfers,18,19
1633,69,21,0
634,mfers,20,0
1634,69,26,3
635,mfers,5,23
1635,69,30,13
636,mfers,10,18
1636,69,29,5
637,mfers,30,13
1637,69,1,9
638,mfers,38,7
1638,69,28,19
639,mfers,33,16
1639,69,13,7
640,mfers,18,12
1640,69,37,18
641,mfers,38,2
1641,69,35,5
642,mfers,17,18
1642,69,24,23
643,mfers,14,3
1643,69,19,3
644,mfers,2,9
1644,69,16,8
645,mfers,14,22
1645,69,25,9
646,mfers,29,9
1646,69,1,18
647,mfers,34,24
1647,69,21,20
648,mfers,8,12
1648,69,5,19
649,mfers,30,14
1649,69,3,10
650,mfers,36,14
1650,69,30,6
651,mfers,11,14
1651,69,27,16
652,mfers,36,19
1652,69,2,24
653,mfers,12,12
1653,69,28,1
654,mfers,23,2
1654,69,14,20
655,mfers,1,24
1655,69,28,20
656,mfers,8,11
1656,69,8,19
657,mfers,34,2
1657,69,39,8
658,mfers,2,5
1658,69,9,4
659,mfers,37,14
1659,69,14,20
660,mfers,29,10
1660,69,26,20
661,mfers,28,20
1661,69,13,10
662,mfers,5,3
1662,69,4,7
663,mfers,1,17
1663,69,13,20
664,mfers,19,24
1664,69,15,7
665,mfers,21,0
1665,69,21,11
666,mfers,11,12
1666,69,7,11
667,mfers,37,21
1667,69,22,20
668,mfers,29,8
1668,69,19,21
669,mfers,8,13
1669,69,6,1
670,mfers,5,11
1670,69,31,21
671,mfers,21,21
1671,69,32,19
672,mfers,31,2
1672,69,4,7
673,mfers,37,23
1673,69,9,24
674,mfers,16,8
1674,69,35,23
675,mfers,34,6
1675,69,22,5
676,mfers,6,14
1676,69,35,9
677,mfers,27,10
1677,69,11,18
678,mfers,11,21
1678,69,13,8
679,mfers,26,8
1679,69,22,19
680,mfers,3,15
1680,69,5,23
681,mfers,12,21
1681,69,35,3
682,mfers,1,10
1682,69,5,1
683,mfers,35,15
1683,69,22,6
684,mfers,38,20
1684,69,24,13
685,mfers,35,15
1685,69,21,9
686,mfers,34,3
1686,69,23,12
687,mfers,30,6
1687,69,11,3
688,mfers,19,15
1688,69,13,17
689,mfers,25,9
1689,69,23,20
690,mfers,2,0
1690,69,16,20
691,mfers,12,7
1691,69,30,15
692,mfers,14,0
1692,69,22,7
693,mfers,23,24
1693,69,32,2
694,mfers,25,1
1694,69,31,1
695,mfers,24,0
1695,69,35,18
696,mfers,35,16
1696,69,23,23
697,mfers,16,9
1697,69,12,8
698,mfers,9,22
1698,69,29,11
699,mfers,3,8
1699,69,28,14
700,mfers,31,18
1700,69,7,7
701,mfers,23,5
1701,69,29,16
702,mfers,17,9
1702,69,4,8
703,mfers,35,16
1703,69,26,19
704,mfers,23,11
1704,69,32,8
705,mfers,28,17
1705,69,21,13
706,mfers,15,1
1706,69,8,15
707,mfers,37,1
1707,69,9,7
708,mfers,1,1
1708,69,36,17
709,mfers,24,22
1709,69,16,20
710,mfers,26,23
1710,69,20,24
711,mfers,18,18
1711,69,3,17
712,mfers,28,16
1712,69,34,11
713,mfers,20,17
1713,69,31,3
714,mfers,30,10
1714,69,33,9
715,mfers,20,5
1715,69,29,15
716,mfers,9,4
1716,69,18,18
717,mfers,36,7
1717,69,33,13
718,mfers,31,6
1718,69,38,17
719,mfers,36,16
1719,69,31,12
720,mfers,35,23
1720,69,36,9
721,mfers,27,11
1721,69,1,24
722,mfers,16,1
1722,69,26,15
723,mfers,15,22
1723,69,37,14
724,mfers,14,3
1724,69,4,5
725,mfers,39,12
1725,69,37,10
726,mfers,28,18
1726,69,11,16
727,mfers,9,24
1727,69,4,21
728,mfers,17,16
1728,69,2,17
729,mfers,4,20
1729,69,15,24
730,mfers,15,5
1730,69,16,19
731,mfers,18,2
1731,69,8,4
732,mfers,8,18
1732,69,13,12
733,mfers,39,23
1733,69,1,22
734,mfers,5,2
1734,69,27,14
735,mfers,29,9
1735,69,14,19
736,mfers,36,10
